Cimabue
Arnolfo_di_Cambio
Bonanno_Pisano
Nicola_Pisano
Giovanni_Pisano
Andrea_Tafi_(artist)
Gaddo_Gaddi
Margaritone_d%27Arezzo
Giotto_di_Bondone
Puccio_Capanna
Agostino_da_Siena
Agnolo_da_Siena
Stefano_Fiorentino
Ugolino_di_Nerio
Pietro_Lorenzetti
Andrea_Pisano
Buonamico_Buffalmacco
Ambrogio_Lorenzetti
Pietro_Cavallini
Simone_Martini
Lippo_Memmi
Taddeo_Gaddi
Andrea_Orcagna
Giottino
Giovanni_da_Ponte
Agnolo_Gaddi
Cennino_Cennini
Barna_da_Siena
Duccio
Antonio_Veneziano_(painter)
Jacopo_di_Casentino
Spinello_Aretino
Gherardo_Starnina
Lippo_Memmi
Lorenzo_Monaco
Taddeo_Bartoli
Lorenzo_di_Bicci
Bicci_di_Lorenzo
Neri_di_Bicci
Jacopo_della_Quercia
Niccol%C3%B2_di_Piero_Lamberti
Dello_di_Niccol%C3%B2_Delli
Nanni_di_Banco
Luca_della_Robbia
Andrea_della_Robbia
Girolamo_della_Robbia
Paolo_Uccello
Lorenzo_Ghiberti
Niccol%C3%B2_di_Piero_Lamberti
Masolino_da_Panicale
Parri_Spinelli
Tommaso_Masaccio
Filippo_Brunelleschi
Donatello
Michelozzo_Michelozzi
Pagno_di_Lapo_Portigiani
Antonio_Filarete
Simone_Ghini
Giuliano_da_Maiano
Piero_della_Francesca
Fra_Angelico
Domenico_di_Michelino
Attavante_Attavanti
Leon_Battista_Alberti
Lazaro_Vasari
Antonello_da_Messina
Alesso_Baldovinetti
Bartolomeo_Bellano
Fra_Filippo_Lippi
Fra_Diamante
Jacopo_del_Sellaio
Paolo_Romano
Mino_del_Reame
Chimenti_Camicia
Baccio_Pontelli
Andrea_del_Castagno
Domenico_Veneziano
Gentile_da_Fabriano
Pisanello
Francesco_di_Pesello
Francesco_Pesellino
Benozzo_Gozzoli
Melozzo_da_Forl%C3%AC
Francesco_di_Giorgio
Vecchietta
Galasso_Galassi
Cosm%C3%A8_Tura
Antonio_Rossellino
Bernardo_Rossellino
Desiderio_da_Settignano
Mino_da_Fiesole
Lorenzo_Costa
Ludovico_Mazzolino
Ercole_Ferrarese
Jacopo_Bellini
Giovanni_Bellini
Gentile_Bellini
Niccolo_Rondinelli
Benedetto_Coda
Cosimo_Rosselli
Francesco_d%27Angelo
Bartolomeo_della_Gatta
Matteo_Lappoli
Gherardo_di_Giovanni_del_Fora
Domenico_Ghirlandaio
Benedetto_Ghirlandaio
David_Ghirlandaio
Bastiano_Mainardi
Antonio_Pollaiuolo
Piero_Pollaiuolo
Maso_Finiguerra
Sandro_Botticelli
Benedetto_da_Maiano
Andrea_del_Verrocchio
Benedetto_Buglioni
Santi_Buglioni
Andrea_Mantegna
Filippino_Lippi
Pinturicchio
Niccol%C3%B2_Alunno
Gerino_da_Pistoia
Francesco_Francia
Caradosso
Perugino
Rocco_Zoppo
Francesco_Bacchiacca
Eusebio_da_San_Giorgio
Andrea_di_Aloigi
Vittore_Carpaccio
Stefano_da_Verona
Jacopo_Avanzi
Altichiero
Jacobello_del_Fiore
Guariento_di_Arpo
Giusto_de%27_Menabuoi
Vincenzo_Foppa
Vincenzo_Catena
Cima_da_Conegliano
Marco_Basaiti
Bartolomeo_Vivarini
Giovanni_di_Niccol%C3%B2_Mansueti
Vittore_Belliniano
Bartolomeo_Montagna
Benedetto_Rusconi
Giovanni_Buonconsiglio
Tullio_Lombardo
Vincenzo_Civerchio
Girolamo_Romani
Moretto_da_Brescia
Francesco_Bonsignori
Giovanni_Francesco_Caroto
Francesco_Torbido
Jacopo_Torni
Luca_Signorelli
Tommaso_Barnabei
Leonardo_da_Vinci
Giorgione_da_Castelfranco
Antonio_da_Correggio
Piero_di_Cosimo
Donato_Bramante
Fra_Bartolomeo
Mariotto_Albertinelli
Raffaellino_del_Garbo
Pietro_Torrigiano
Giuliano_da_Sangallo
Antonio_da_Sangallo_the_Elder
Raffaello_Santi
Guillaume_de_Marcillat
Simone_del_Pollaiolo
Davide_Ghirlandaio
Benedetto_Ghirlandaio
Domenico_Puligo
Andrea_Ferrucci
Vincenzo_Tamagni
Timoteo_della_Vite
Andrea_Sansovino
Benedetto_Grazzini
Baccio_da_Montelupo
Raffaello_da_Montelupo
Lorenzo_di_Credi
Boccaccio_Boccaccino
Lorenzetto
Baldassare_Peruzzi
Pellegrino_Aretusi
Gianfrancesco_Penni
Andrea_del_Sarto
Properzia_de%27_Rossi
Suor_Plautilla_Nelli
Lucrezia_Quistelli
Sofonisba_Anguissola
Alfonso_Lombardi
Giovanni_Angelo_Montorsoli
Girolamo_Santacroce
Dosso_Dossi
Battista_Dossi
Il_Pordenone
Rosso_Fiorentino
Giovanni_Antonio_Sogliani
Girolamo_da_Treviso
Polidoro_da_Caravaggio
Maturino_da_Firenze
Bartolommeo_Ramenghi
Marco_Calabrese
Morto_Da_Feltro
Franciabigio
Francesco_Mazzola
Jacopo_Palma
Lorenzo_Lotto
Giovanni_Giocondo
Francesco_Granacci
Baccio_d%27Agnolo
